Date,Easy,Medium,Hard
27/07/21,"0,0,5,0,0,2,1,0,4,2,0,4,9,7,8,0,6,0,6,7,0,0,4,0,0,8,0,4,0,0,0,0,0,6,2,5,7,3,2,6,0,0,0,0,1,0,5,0,2,9,4,0,0,0,0,0,8,4,1,6,9,0,0,0,0,0,7,0,0,0,4,2,5,4,7,0,0,0,0,0,0","3,5,2,0,0,0,0,0,0,8,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,6,5,0,0,0,0,9,7,0,0,9,0,8,6,0,0,0,0,0,0,4,0,0,1,7,0,5,0,0,0,0,4,0,0,0,6,0,0,7,0,0,0,0,0,0,0","0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,9,5,7,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,2,5,0,7,6,0,4,0,0,6,3,0,0,0,1,9,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,0"
28/07/21,"6,0,8,0,0,7,1,2,0,3,0,0,0,1,8,5,6,4,5,1,4,0,0,3,8,0,0,0,3,9,2,0,0,4,0,0,0,6,0,3,0,0,0,0,7,0,4,0,5,0,0,2,0,8,1,7,0,0,9,0,3,0,0,0,5,0,0,4,0,0,0,1,4,0,0,0,3,6,0,0,5","0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,6,4,1,0,6,0,0,9,0,5,0,0,0,0,0,8,1,6,0,0,8,9,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,8,4,2,0,7,0,0,0,4,0,8,0,0,0,0,9","0,0,0,0,0,5,0,0,6,0,0,6,0,0,8,0,0,9,0,3,0,0,0,7,0,5,0,4,5,0,0,0,0,0,6,0,0,0,7,0,0,2,0,1,0,6,0,0,7,0,0,0,0,4,0,0,1,0,0,9,0,0,0,0,0,3,0,8,0,0,0,7,2,0,0,0,0,0,0,0,0"
29/07/21,"0,3,0,5,1,0,0,4,0,0,9,0,4,0,0,6,0,7,4,0,0,0,6,7,0,1,5,0,0,4,9,7,3,1,0,0,3,5,8,1,0,0,0,0,0,0,0,1,0,0,0,3,2,4,5,0,0,6,3,8,4,0,0,8,1,6,0,4,0,0,0,0,7,0,0,0,0,0,5,0,6","0,6,3,0,5,1,0,0,9,7,0,0,0,0,9,0,0,6,0,0,0,0,0,0,5,0,2,8,0,0,4,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,7,0,0,2,5","0,6,0,8,0,0,0,0,2,0,0,7,0,3,5,0,0,0,8,0,0,0,4,6,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,1,0,4,0,3,0,0,8,0,0,0,0,0,4,0,5,0,0,0,0,5,0,0,9,7,0,1,0,0,0,0,0,0,0,6"
30/07/21,"9,5,0,0,0,1,7,0,2,0,0,6,8,5,7,0,0,0,0,7,3,0,0,0,4,0,8,2,0,9,0,0,3,0,7,5,6,0,7,9,0,0,0,8,0,0,0,0,1,7,4,0,9,0,8,9,0,0,6,0,5,0,0,0,6,0,0,4,0,0,1,7,0,3,0,5,0,8,0,0,9","0,6,1,3,0,0,0,0,9,5,0,0,9,0,0,0,2,0,0,0,8,0,0,0,1,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,1,4,0,0,2,0,0,0,5,0,8,0,0,0,0,0,8,0,0,0,0,4,0,7,0,0,0,2,0,9,0,0,0,0,0,0,0,6,0,0","0,0,0,0,0,0,0,0,1,2,5,0,8,0,1,0,0,0,0,0,4,7,0,9,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,2,0,0,6,8,0,0,6,0,0,0,9,0,3,0,0,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,9,0,0,0,8,6,0,0"
31/07/21,"0,7,5,3,9,6,0,0,0,0,0,0,0,5,0,2,0,9,9,6,8,0,0,0,0,5,7,4,3,0,6,0,0,8,1,0,6,0,0,5,4,3,0,0,0,0,0,9,1,0,0,6,0,3,0,0,7,0,0,5,0,2,6,0,9,6,0,0,2,0,3,0,5,0,0,0,6,1,0,7,0","0,0,1,7,0,0,0,9,0,0,0,7,1,2,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,3,7,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,2,6,0,0,0,7,0,0,0,4,5,0,0,0,0,0,1,0","0,4,0,2,0,0,0,1,0,3,0,0,4,0,5,2,0,0,0,0,0,0,7,0,0,0,0,0,0,6,1,0,7,8,2,0,0,0,5,0,0,4,0,9,0,0,0,1,3,0,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,8,0,0,0"
01/08/21,"0,0,7,8,0,0,2,5,3,2,9,0,7,0,4,0,0,0,3,6,8,0,0,0,7,0,9,0,2,0,0,5,0,0,6,7,0,7,0,6,8,0,5,3,0,0,0,0,0,9,0,0,8,1,4,8,3,0,0,6,0,0,0,0,0,0,5,0,0,3,7,8,7,0,2,3,0,0,6,0,0","0,0,0,0,5,0,0,0,0,8,2,5,0,0,0,0,0,9,0,0,0,0,0,1,2,0,8,0,5,0,0,0,0,0,7,0,6,0,0,0,0,0,9,0,0,2,1,0,0,0,7,0,0,0,0,4,0,3,0,0,0,0,1,0,3,0,0,6,4,0,0,5,0,9,0,0,0,0,8,0,0","0,0,0,0,5,0,9,4,0,1,0,0,0,3,2,0,0,0,0,0,0,8,0,0,0,0,0,4,0,7,0,0,5,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0,7,0,0,0,0,6,9,0,0,0,8,0,0,1,3,0,4,0,0,7,0,0,2,0,0,0,5,0,0,0,0,0,0"
02/08/21,"1,4,7,0,0,0,6,0,0,0,0,8,6,7,0,1,2,0,0,6,0,3,1,0,8,0,7,8,0,0,0,0,7,5,4,9,4,7,1,0,0,8,0,0,0,0,3,0,0,2,6,0,0,0,0,0,4,2,0,9,0,6,0,6,1,2,0,0,0,9,8,0,9,0,0,5,6,0,0,0,0","9,0,0,0,0,0,0,0,0,0,0,0,8,0,9,1,2,0,0,1,0,0,0,6,3,8,0,8,0,3,0,6,7,0,0,0,0,0,5,1,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,7,0,0,0,0,0,0,0,0,0,0,4,0,0,6,7","0,9,6,0,0,2,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,7,5,0,6,0,0,0,0,0,0,0,0,9,5,6,0,9,4,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,9,0,0,0,2,0,0,4,7,3,0,2,7,0,0,0,0,0"
03/08/21,"2,3,0,8,1,0,0,0,0,8,0,0,3,0,0,4,1,9,9,0,0,0,7,5,8,3,0,0,0,0,0,9,0,7,4,1,0,9,6,5,0,0,0,0,0,0,0,3,2,0,7,9,0,0,0,0,2,0,0,4,0,7,6,0,7,5,1,0,8,0,0,3,0,1,9,0,3,0,0,0,4","0,6,4,9,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,6,0,0,0,0,0,7,0,0,0,8,0,5,0,0,0,0,0,3,0,0,0,0,8,4,2,0,0,0,0,1,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,9,0,0,1,8,0,0,0,0,0,0,0","0,5,0,1,8,0,0,6,0,3,0,1,7,6,0,0,0,5,0,9,0,0,0,0,0,0,3,9,0,0,2,0,0,0,4,0,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,7,0,0,0,0,0,0,0,5,8,0,2,0,0,0,0,3,0,0"
04/08/21,"5,4,0,3,0,0,6,0,0,3,0,0,0,6,1,4,8,0,0,8,0,0,4,0,2,3,0,7,0,9,5,0,0,0,0,2,0,0,8,2,0,0,9,0,6,2,0,4,8,0,0,1,0,0,4,1,5,0,8,7,0,0,9,0,0,0,0,0,2,0,1,8,0,0,7,0,3,9,0,6,0","0,5,0,0,0,9,0,0,0,0,0,0,4,0,7,6,0,0,7,0,0,0,0,1,0,0,9,5,0,0,0,0,4,0,0,0,0,0,8,0,5,0,0,7,0,2,3,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,8,1,0,0,0,7,3,5","0,0,0,2,1,0,0,0,0,0,3,0,4,0,0,0,0,0,9,0,5,0,0,0,7,0,0,0,9,1,0,0,4,0,0,0,0,0,0,8,0,0,3,2,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,8,4,0,2,7,0,8,5,0,9,5,0,0,0,0,0,0,0,0"
05/08/21,"0,8,3,0,0,0,0,1,4,2,0,0,6,0,1,0,5,7,0,0,0,7,8,4,0,0,9,6,0,8,0,1,0,9,0,0,0,7,0,8,0,3,0,4,0,4,0,5,0,0,2,1,0,0,9,1,0,0,0,0,0,6,5,0,0,0,5,9,7,2,0,0,0,5,0,1,4,0,7,0,8","0,6,0,0,0,2,7,4,0,0,0,1,0,0,9,0,0,0,2,0,0,0,3,0,0,8,0,0,8,9,6,0,0,0,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0,0,4,6,0,0,8,0,0,0,7,0,0,5,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,8,9,0,0","0,3,0,0,2,0,0,0,9,0,0,0,0,1,9,0,0,0,7,0,2,5,4,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,4,0,0,0,9,5,3,0,0,0,0,0,0,0,0,0,4,2,0,0,8,6,0,0,1,1,0,0,0,0,0,0,6,0,3,0,0,7,0,0,0,0,0"
06/08/21,"4,0,0,0,8,3,7,2,5,8,7,0,4,5,0,3,0,0,0,6,0,7,1,0,0,0,0,6,0,5,0,3,7,0,8,0,0,0,7,0,0,6,5,4,0,3,0,9,0,0,8,0,7,2,0,2,8,3,0,0,0,0,7,0,0,0,8,7,0,0,1,0,0,5,0,9,0,0,4,0,0","8,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,4,0,0,0,0,3,5,0,0,0,4,0,6,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,9,0,2,1,9,4,0,0,0,0,0,0,4,7,2,0,0,0,8,0,0,0,0,0,0,1,0,0,0","0,0,0,1,5,0,0,0,6,0,0,0,0,0,8,0,3,0,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,6,4,0,0,0,7,0,0,0,0,0,8,0,0,2,0,4,9,0,0,1,0,0,0,3,0,0,7,2,6,0,0,0,1"
07/08/21,"0,9,0,0,7,5,3,0,6,2,6,0,0,1,3,0,8,5,0,1,0,0,0,8,2,7,0,7,5,4,0,0,6,0,0,0,9,0,1,8,0,0,0,4,0,0,0,0,3,9,0,0,0,1,8,0,9,0,0,2,1,0,0,0,0,5,4,6,0,0,0,3,3,0,0,7,0,0,5,0,4","0,2,0,0,0,9,0,0,0,8,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,4,7,0,0,0,3,0,0,0,6,0,5,0,1,7,5,0,6,0,9,0,1,0,0,0,3,0,5,6,0,0,9,2,0,0,9,0,0,0,0,0,0","0,6,0,0,1,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,7,5,9,0,0,0,0,0,0,0,0,2,0,7,0,6,0,0,3,0,4,6,0,8,0,0,0,0,8,0,7,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,7,1,0,0,0,0,0,0,6,9"
08/08/21,"0,4,3,5,2,0,1,7,0,1,2,7,0,0,0,3,9,0,0,0,0,3,1,7,0,2,0,6,8,0,0,5,3,2,0,0,2,0,9,0,0,6,7,0,0,0,7,0,0,0,0,4,0,8,0,0,2,0,0,0,5,3,7,0,0,8,9,0,0,0,0,1,7,6,1,4,0,0,0,0,0","0,5,0,1,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,3,0,0,0,0,7,0,2,0,0,0,5,0,4,0,0,8,0,0,0,7,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,3,0,8,0,0,7,0,0,0,0,5,9,0,0,0,6,8,1,0,0","0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,3,0,0,0,0,0,2,0,0,5,7,7,0,0,0,0,1,8,0,5,2,1,0,6,0,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,3,9,0,0,1,4,0,0,0,9,3,0,0,0,0,0,6,0,0,0,0,4,0,0,0"
09/08/21,"8,9,0,3,0,7,0,0,2,0,0,2,9,0,0,8,0,6,4,0,7,0,0,0,0,9,5,0,7,4,2,0,0,6,0,0,0,0,3,0,0,0,2,5,7,2,0,5,0,7,8,9,0,0,7,3,0,0,0,4,0,1,0,0,4,0,0,1,9,0,2,0,0,2,0,0,8,3,0,0,9","0,0,9,0,4,0,0,3,0,0,8,0,0,9,0,7,2,0,1,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,6,0,0,3,7,0,0,0,0,0,2,0,0,6,0,0,5,0,0,0,0,7,9,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,8","0,0,3,4,0,1,6,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,0,9,0,0,0,0,7,0,0,0,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,6,0,4,9,0,0,0,0,0,0,9,7,0,0,3,0,0,0"
10/08/21,"0,0,0,1,5,6,0,0,3,6,7,2,0,8,0,1,0,0,0,0,0,0,2,9,4,8,0,9,3,4,0,0,0,0,0,1,0,0,0,9,1,0,0,7,4,8,0,0,6,0,5,0,0,0,0,0,1,0,9,8,0,4,0,5,4,9,2,0,0,3,0,0,0,0,6,4,0,1,2,0,9","9,0,0,8,0,0,2,7,3,0,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,0,6,1,0,8,0,0,0,0,0,0,0,0,5,0,8,0,3,0,0,0,9,0,0,0,5,0,6,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,2,8,0,0,5,0,3,0,0,0,0,0,9","8,0,0,0,0,7,0,0,0,0,3,0,1,5,0,0,0,7,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,1,6,8,0,0,6,0,0,4,0,0,0,1,7,0,5,0,0,4,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,7,0,6,0,0,8,0,0,0,4,0"
11/08/21,"0,5,2,3,0,6,0,0,0,0,0,0,0,4,7,8,3,5,7,3,4,0,0,5,2,0,0,4,2,7,0,8,0,0,5,0,3,0,0,6,5,0,0,0,4,0,0,5,0,0,0,9,1,2,0,0,8,4,6,0,0,0,0,0,1,0,9,0,0,0,0,8,0,4,0,5,0,8,6,9,0","0,0,1,0,0,8,3,0,4,0,0,0,0,5,6,0,0,0,0,0,6,9,0,4,5,0,0,0,0,9,0,3,2,4,0,0,6,2,0,0,0,9,0,0,0,0,0,5,0,0,0,7,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,7,0","2,0,0,0,0,1,0,0,4,0,0,8,0,0,0,7,0,0,6,0,0,4,0,9,0,0,1,0,0,0,0,7,4,0,0,0,0,0,9,0,0,0,0,5,0,0,7,0,0,9,0,4,0,0,0,0,0,5,3,0,2,8,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12/08/21,"0,0,2,5,0,0,4,0,3,8,9,0,0,3,0,5,2,0,5,4,0,2,9,0,1,0,0,0,0,5,0,0,6,0,7,4,0,0,7,0,4,0,9,5,0,9,2,4,7,8,5,0,0,0,4,3,6,0,0,9,0,0,5,0,0,0,0,0,0,0,8,6,0,5,0,3,0,1,0,0,0","0,0,0,3,0,0,0,0,0,2,5,3,0,0,0,4,0,0,0,6,0,0,0,2,7,8,0,0,0,0,0,0,1,6,0,8,4,0,0,0,0,0,0,0,0,9,0,0,8,4,0,0,1,0,7,0,0,2,0,3,0,0,0,0,0,0,1,0,7,5,0,0,0,0,0,0,0,0,0,0,9","0,0,0,4,0,0,0,0,0,7,0,4,0,0,9,0,0,0,0,0,0,5,0,0,6,0,8,0,0,7,9,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,6,0,0,0,3,0,0,2,0,5,0,8,0,0,0,3,0,0,3,0,6,0,5,0,9,0,0,0,0,0,0,4,0,6,0"
13/08/21,"1,8,0,0,4,0,0,2,3,5,0,0,3,0,1,0,6,0,0,0,0,6,0,0,4,1,0,3,2,7,0,1,6,0,5,0,0,0,9,5,0,0,1,3,2,0,5,1,8,3,2,0,0,0,2,0,0,0,5,0,0,0,6,0,4,3,0,8,7,0,0,0,9,0,0,0,0,0,2,0,7","4,0,0,0,0,0,0,8,0,3,7,0,1,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,4,2,0,3,0,0,0,0,7,0,0,4,5,0,8,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,4,0,0,0,0,3,2,9,0,0","0,0,0,0,8,3,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,1,7,0,2,5,0,0,0,1,0,0,0,4,0,0,0,7,0,5,0,0,0,0,0,0,8,0,0,0,2,0,7,0,0,3,0,0,0,0,5,0,6,1,2,0,0,0,0,9,0,0"
14/08/21,"0,6,0,2,0,0,1,0,4,3,1,0,5,0,0,9,2,0,0,5,0,0,9,8,0,0,3,7,0,4,0,0,1,0,9,2,6,0,1,7,0,2,4,0,0,0,0,0,0,8,4,6,0,0,1,0,9,0,0,0,0,3,0,0,0,6,0,1,0,0,4,9,2,3,0,4,6,0,0,0,7","6,0,3,4,0,0,2,0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,8,0,0,3,0,0,0,0,0,0,5,0,0,9,0,2,0,2,0,0,7,6,0,0,0,0,0,0,0,0,7,0,0,0,4,7,0,0,1,0,8,0,0,0,0,0,0,0,0,2,9,3,0","0,0,8,0,2,0,0,0,0,7,0,0,0,4,0,0,0,5,0,1,0,7,0,0,2,0,6,0,0,0,6,0,0,0,0,8,0,9,0,0,0,0,7,5,3,0,0,0,5,0,0,9,0,0,1,0,0,4,6,0,0,9,0,0,8,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0"
15/08/21,"4,8,9,3,0,7,0,0,0,0,0,5,8,0,0,0,0,3,3,0,0,0,9,0,1,8,7,8,0,0,0,3,1,2,5,0,2,5,3,4,0,0,0,0,0,6,0,0,0,0,5,0,3,8,5,7,0,0,0,0,3,2,0,0,0,0,9,5,3,7,0,0,0,0,4,0,6,0,0,1,5","0,0,0,0,0,5,4,0,0,0,4,0,7,0,8,0,9,0,0,0,2,0,0,0,0,3,7,2,0,4,0,5,0,0,0,0,1,8,0,9,4,2,0,0,0,0,0,0,0,0,3,7,0,0,8,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,5","3,0,0,1,0,0,0,0,0,1,0,6,0,3,0,8,0,0,0,0,0,2,0,8,9,0,0,2,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,9,1,0,6,0,0,5,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,7,9,0,4,0,0,4,0,0,0,0,6,0,0"
16/08/21,"6,2,8,4,0,1,3,0,0,0,5,0,2,8,3,0,0,0,0,0,0,6,0,0,2,1,0,0,0,2,5,6,4,1,0,0,0,0,0,1,0,0,7,2,4,0,4,3,8,0,0,0,0,6,4,0,0,0,5,6,0,0,2,5,0,9,0,4,0,0,0,1,0,3,0,0,0,0,5,4,7","9,0,0,0,0,0,0,7,5,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,8,0,4,0,9,3,0,8,0,7,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,2,4,8,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,6,0","0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,7,2,0,0,0,0,0,0,9,0,0,4,0,0,0,5,0,0,0,0,0,7,0,8,0,0,2,0,0,6,3,0,0,0,4,0,9,1,0,0,0,2,9,5,0,0,7,0,0,1,5,0,7,0,3,4,0,0,0,0,0,0,0,0,0,0"
17/08/21,"4,0,3,5,2,0,0,7,6,0,1,8,0,6,0,0,0,2,0,0,6,4,0,8,0,9,0,0,0,2,8,1,0,0,6,0,0,3,5,0,0,0,4,0,1,1,0,0,3,4,6,5,0,0,0,0,0,6,8,9,0,0,4,0,6,1,0,0,0,7,3,0,8,2,0,0,0,3,0,0,0","0,0,0,4,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,9,0,0,7,0,3,0,4,0,0,2,0,0,2,0,6,0,9,3,4,0,0,9,0,0,0,2,1,0,0,0,7,0,0,0,3,0,1,0,2,0,0,1,6,0,0,0,0,0,0,6,0,0,8,0,3,0","0,2,9,0,4,0,0,8,0,0,0,0,0,2,1,0,4,0,0,0,0,8,3,9,0,0,0,0,0,0,0,9,0,0,0,1,3,0,0,6,0,5,0,0,8,2,6,0,0,0,0,0,3,0,4,0,0,0,0,0,7,1,0,0,1,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0"
18/08/21,"0,9,0,0,0,3,2,5,7,1,3,4,0,2,0,9,0,0,0,2,0,6,8,9,3,0,0,3,0,0,2,0,0,8,0,1,0,6,0,5,9,0,0,0,0,4,8,0,0,0,0,7,0,5,2,0,5,0,4,0,0,3,0,0,0,8,0,0,7,5,4,0,0,0,3,8,0,0,1,7,0","0,0,0,0,0,0,0,1,0,1,9,0,0,0,7,0,0,0,0,0,7,5,0,0,0,0,6,0,0,3,7,0,5,6,0,0,5,0,6,0,0,9,3,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,8,0,0,0,0,8,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4","0,9,0,0,0,0,0,0,0,0,5,0,7,0,9,0,0,1,0,0,2,0,4,0,0,3,0,0,7,0,6,0,0,0,0,4,0,0,0,0,7,0,3,0,8,0,0,0,1,0,0,0,9,0,9,4,0,8,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,6,0,7,0,0"
19/08/21,"0,0,6,0,2,8,0,7,1,7,0,4,0,0,1,0,5,0,0,0,8,4,0,5,6,0,0,4,5,0,0,8,0,0,0,3,0,8,0,1,5,6,0,0,0,0,1,7,0,0,0,0,2,5,8,6,0,0,0,7,3,0,0,3,0,1,0,0,0,7,8,2,0,7,0,8,0,4,5,0,0","0,0,0,0,0,9,0,4,0,0,0,0,1,0,0,8,0,0,6,0,7,0,3,0,0,0,0,0,5,6,3,0,0,0,8,0,0,0,3,0,7,0,0,5,0,7,0,0,2,0,0,1,0,0,0,9,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4","2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,6,1,5,0,0,0,4,0,7,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,7,8,0,0,4,3,0,0,0,5,6,0,0,0,9,0,0,0,0,2,0,0,3,0,0,4,0,0,0,1,0,0,0,8"
20/08/21,"0,9,0,7,6,0,0,0,2,4,3,1,0,9,0,5,0,6,0,2,0,1,5,0,8,3,0,2,0,0,9,1,0,0,8,0,9,0,0,0,0,6,3,0,7,1,0,4,0,7,8,0,0,0,0,0,0,5,0,7,2,0,0,7,0,0,0,0,9,4,5,8,8,0,6,0,4,0,0,0,0","0,0,0,0,0,0,2,0,0,4,0,0,2,0,3,7,8,0,0,3,0,0,0,0,4,1,0,0,8,0,0,7,0,0,0,0,0,7,0,0,0,4,5,6,0,9,0,0,0,6,0,3,0,0,3,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,3,4,0,5,6,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,8,0,2,0,9,0,0,0,2,5,0,0,0,0,0,0,8,0,0,0,4,0,0,7,0,1,0,0,3,0,0,0,8,0,7,0,0,2,3,9,0,0,0,0,6,0,0,0,6,5,0,0,0,0,4,0,0"
21/08/21,"7,0,1,0,0,0,4,3,8,9,4,0,7,0,8,0,5,0,0,0,6,4,0,2,0,7,0,0,0,7,0,9,1,0,6,0,0,5,0,0,4,0,1,0,0,0,6,2,0,0,0,3,0,4,3,7,4,0,0,0,6,8,0,6,0,0,0,7,9,5,4,0,0,0,0,8,0,4,0,0,3","8,0,9,7,0,0,0,0,4,0,0,4,0,0,1,0,2,0,2,0,0,0,0,0,0,8,0,0,0,2,0,7,4,0,1,0,0,0,0,0,0,0,0,7,6,0,0,6,0,0,0,9,0,0,1,3,0,0,5,0,0,0,0,0,9,0,3,0,0,0,4,0,0,0,0,0,0,9,0,0,0","0,2,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,8,3,0,6,0,1,0,0,5,0,0,0,7,0,0,0,3,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,5,8,1,4,9,5,0,0,0,0,0,0,0,0,0,8,7,0,0"
22/08/21,"0,1,0,7,3,9,0,2,0,2,7,0,0,8,0,9,0,1,0,4,6,0,0,2,7,0,8,0,2,7,0,9,8,0,0,0,0,0,0,1,7,5,4,0,2,4,9,1,0,0,0,0,0,7,3,0,0,8,5,0,1,0,0,1,0,9,3,0,0,0,0,0,0,0,0,9,0,0,8,6,0","0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,8,7,0,0,0,2,4,0,0,0,0,0,0,7,0,0,0,0,5,6,4,0,0,0,1,0,0,0,0,9,0,0,3,0,0,0,0,8,0,0,0,7,0,0,9,0,0,0,0,1,5,0,7,2,0,0,0,3,0,0","0,0,3,0,1,0,0,0,6,0,1,0,0,5,8,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,7,5,0,0,2,0,4,0,0,0,8,0,0,7,0,0,0,4,0,0,1,3,0,9,0,0,0,2,0,0,0,0,0,0,0,8,0,9,7,0"
23/08/21,"3,0,0,0,0,2,9,6,0,1,4,0,0,0,0,2,0,8,0,0,2,9,7,1,0,0,0,0,0,1,4,0,0,0,2,6,2,0,4,0,8,5,0,9,0,7,0,8,0,1,0,0,0,3,4,5,3,0,0,0,0,1,0,0,1,0,7,5,4,0,0,0,0,0,7,1,0,9,6,0,4","4,3,0,5,0,0,0,0,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,8,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,6,0,9,5,0,0,0,0,0,0,0,0,3,0,0,6,0,8,0,0,1,0,0,4","0,0,7,0,0,0,0,0,8,5,0,0,0,0,6,0,0,7,0,3,4,8,0,0,0,6,0,0,0,0,0,3,7,1,0,9,0,7,1,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,8,6"
